1: small
2: large
3: XXXlarge
4: Custom Test Data
5: Pokemon Dataset
3
What dataset file do you want to use?
Enter a valid number from 1-24:
10
Datasets/CS170_XXXlarge_Data__10.txt
Type the number of the algorithm you want to run.
1. Forward Selection
2. Backwards Elimination
1

prevBestAccuracy = 0
Using Features(s) {26, 45, 58, 78} while considering 60, the accuracy is 89.52%
Using Features(s) {26, 45, 58, 78} while considering 61, the accuracy is 90.35%
Using Features(s) {26, 45, 58, 78} while considering 62, the accuracy is 90.35%
Using Features(s) {26, 45, 58, 78} while considering 63, the accuracy is 89.7%
Using Features(s) {26, 45, 58, 78} while considering 64, the accuracy is 90.2%
Using Features(s) {26, 45, 58, 78} while considering 65, the accuracy is 90.82%
Using Features(s) {26, 45, 58, 78} while considering 66, the accuracy is 90.6%
Using Features(s) {26, 45, 58, 78} while considering 67, the accuracy is 91.17%
Using Features(s) {26, 45, 58, 78} while considering 68, the accuracy is 90.25%
Using Features(s) {26, 45, 58, 78} while considering 69, the accuracy is 91.12%
Using Features(s) {26, 45, 58, 78} while considering 70, the accuracy is 90.97%
Using Features(s) {26, 45, 58, 78} while considering 71, the accuracy is 91.22%
Using Features(s) {26, 45, 58, 78} while considering 72, the accuracy is 90.5%
Using Features(s) {26, 45, 58, 78} while considering 73, the accuracy is 90.9%
Using Features(s) {26, 45, 58, 78} while considering 74, the accuracy is 90.77%
Using Features(s) {26, 45, 58, 78} while considering 75, the accuracy is 91.72%
Using Features(s) {26, 45, 58, 78} while considering 76, the accuracy is 90.77%
Using Features(s) {26, 45, 58, 78} while considering 77, the accuracy is 90.45%
Using Features(s) {26, 45, 58, 78} while considering 79, the accuracy is 91.1%
Using Features(s) {26, 45, 58, 78} while considering 80, the accuracy is 90.55%

numLevelsDecreasing = 3
For level 5, the index chosen is 75 with an accuracy of 91.72%
The current feature list is: {26, 45, 58, 75, 78}


prevBestAccuracy = 91.72
Using Features(s) {26, 45, 58, 75, 78} while considering 1, the accuracy is 88.12%
Using Features(s) {26, 45, 58, 75, 78} while considering 2, the accuracy is 88.3%
Using Features(s) {26, 45, 58, 75, 78} while considering 3, the accuracy is 87.75%
Using Features(s) {26, 45, 58, 75, 78} while considering 4, the accuracy is 88.3%
Using Features(s) {26, 45, 58, 75, 78} while considering 5, the accuracy is 87.8%
Using Features(s) {26, 45, 58, 75, 78} while considering 6, the accuracy is 88.1%
Using Features(s) {26, 45, 58, 75, 78} while considering 7, the accuracy is 87.45%
Using Features(s) {26, 45, 58, 75, 78} while considering 8, the accuracy is 88.17%
Using Features(s) {26, 45, 58, 75, 78} while considering 9, the accuracy is 88.07%
Using Features(s) {26, 45, 58, 75, 78} while considering 10, the accuracy is 87.3%
Using Features(s) {26, 45, 58, 75, 78} while considering 11, the accuracy is 87.97%
Using Features(s) {26, 45, 58, 75, 78} while considering 12, the accuracy is 87.6%
Using Features(s) {26, 45, 58, 75, 78} while considering 13, the accuracy is 87.1%
Using Features(s) {26, 45, 58, 75, 78} while considering 14, the accuracy is 88.7%
Using Features(s) {26, 45, 58, 75, 78} while considering 15, the accuracy is 87.55%
Using Features(s) {26, 45, 58, 75, 78} while considering 16, the accuracy is 86.75%
Using Features(s) {26, 45, 58, 75, 78} while considering 17, the accuracy is 87.67%
Using Features(s) {26, 45, 58, 75, 78} while considering 18, the accuracy is 87.9%
